City,Latitude,Longitude,Color
Buenos Aires|Autonomous City of Buenos Aires|Argentina,-34.63,-58.46,blue
Helsinki|@|Finland,60.17,24.96,blue
Rochester|New York|United States,43.1,-77.61,blue
Daejeon|@|South Korea,36.36,127.38,red
Barcelona|Catalonia|Spain,41.39,2.17,blue
Tsukuba|@|Japan,36.11,140.11,red
Iowa City|Iowa|United States,41.66,-91.54,blue
Lansing|Michigan|United States,42.73,-84.54,red
Cincinnati|Ohio|United States,39.11,-84.51,red
Istanbul|@|Turkey,41.01,28.96,red
Versailles|Ile-de-France|France,48.8,2.14,blue
Nottingham|England|United Kingdom,52.95,-1.15,red
Birmingham|England|United Kingdom,52.5,-1.81,red
New Brunswick|New Jersey|United States,40.5,-74.45,red
Nashville|Tennessee|United States,36.17,-86.81,blue
Chennai|Tamil Nadu|India,13.09,80.28,red
Lausanne|Vaud|Switzerland,46.51,6.63,blue
Heidelberg|Baden-Württemberg|Germany,49.42,8.74,blue
Changchun City|Jilin|China,43.83,125.31,red
Tucson|Arizona|United States,32.23,-110.96,red
Utrecht|Utrecht|Netherlands,52.09,5.1,blue
Jerusalem|Jerusalem District|Israel,31.8,35.19,red
Rio de Janeiro|Rio de Janeiro|Brazil,-22.91,-43.16,red
Ghent|East Flanders|Belgium,51.04,3.72,blue
Cape Town|Western Cape|South Africa,-33.94,18.46,red
Athens|Attica|Greece,37.98,23.74,red
Jurong East|@|Singapore,1.33,103.75,red
Gothenburg|@|Sweden,57.7,11.92,blue
Salt Lake City|Utah|United States,40.77,-111.84,blue
Detroit|Michigan|United States,42.36,-83.06,red
Tel Aviv-Yafo|Tel Aviv District|Israel,32.1,34.82,blue
Oslo|@|Norway,59.95,10.73,blue
Charlottesville|Virginia|United States,38.03,-78.48,blue
Haifa|Haifa District|Israel,32.76,35.02,red
Hsinchu|Taiwan Province|Taiwan,24.8,120.98,red
Chiyoda|@|Japan,35.69,139.74,red
Kendall|Florida|United States,25.69,-80.34,blue
Trenton|New Jersey|United States,40.22,-74.77,red
Hong Kong Island|Hong Kong|China,22.25,114.17,blue
Gulou District|Jiangsu|China,32.09,118.75,red
Birmingham|Alabama|United States,33.55,-86.84,blue
Cardiff|Wales|United Kingdom,51.51,-3.19,red
Sheffield|England|United Kingdom,53.38,-1.5,red
London|Ontario|Canada,43.01,-81.26,blue
Budapest|@|Hungary,47.49,19.08,red
Licheng District|Shandong|China,36.67,117.05,red
The Hague|South Holland|Netherlands,52.07,4.31,blue
Bristol|England|United Kingdom,51.46,-2.59,red
Leeds|England|United Kingdom,53.8,-1.55,red
Calgary|Alberta|Canada,50.99,-114.1,blue
Raleigh|North Carolina|United States,35.82,-78.7,red
Erlangen|Bavaria|Germany,49.6,11.0,blue
Lexington|Kentucky|United States,38.02,-84.5,blue
Irvine|California|United States,33.65,-117.81,blue
Ames|Iowa|United States,42.01,-93.63,red
Padua|Veneto|Italy,45.42,11.87,blue
Pasadena|California|United States,34.15,-118.08,blue
Hamilton|Ontario|Canada,43.26,-79.92,blue
Valencia|Valencian Community|Spain,39.47,-0.38,blue
Liverpool|England|United Kingdom,53.47,-2.93,red
Roanoke|Virginia|United States,37.26,-79.94,red
Aachen|North Rhine-Westphalia|Germany,50.78,6.08,red
Dundee|Scotland|United Kingdom,56.46,-2.97,red
Tainan|@|Taiwan,23.11,120.3,red
Milwaukee|Wisconsin|United States,43.04,-87.9,red
Athens|Georgia|United States,33.94,-83.37,red
Boulder|Colorado|United States,39.94,-105.25,blue
Bridgeport|Connecticut|United States,41.19,-73.17,red
Ganjingzi|Liaoning|China,38.87,121.53,blue
Baohe District|Anhui|China,31.82,117.28,blue
Southampton|England|United Kingdom,50.93,-1.4,red
Bologna|Emilia-Romagna|Italy,44.49,11.34,blue
Baton Rouge|Louisiana|United States,30.4,-91.13,red
Turin|Piemont|Italy,45.06,7.66,red
Chaoyang District|Beijing|China,39.97,116.42,red
Wilmot|Ontario|Canada,43.47,-80.54,red
Leipzig|Saxony|Germany,51.34,12.35,blue
Göttingen|Lower Saxony|Germany,51.54,9.93,blue
Albuquerque|New Mexico|United States,35.08,-106.59,red
Shenyang City|Liaoning|China,41.89,123.41,red
Aarhus|@|Denmark,56.14,10.19,blue
Rotterdam|South Holland|Netherlands,51.91,4.5,blue
Columbia|Missouri|United States,38.94,-92.33,red
Auckland|Auckland|New Zealand,-36.85,174.76,blue
Kingston|Ontario|Canada,44.24,-76.5,blue
Groningen|Groningen|Netherlands,53.24,6.53,blue
Nijmegen|Gelderland|Netherlands,51.82,5.87,blue
Hamburg|@|Germany,53.57,10.0,red
Pullman|Washington|United States,46.73,-117.18,blue
Winnipeg|Manitoba|Canada,49.89,-97.14,red
Lisbon|@|Portugal,38.76,-9.19,blue
Krakow|Lesser Poland Voivodeship|Poland,50.07,19.91,red
City of London|England|United Kingdom,51.52,-0.08,red
Basel|Basel-City|Switzerland,47.55,7.58,red
Quebec|Quebec|Canada,46.81,-71.21,blue
Delft|South Holland|Netherlands,52.01,4.36,red
Dallas|Texas|United States,32.78,-96.8,blue
Newcastle upon Tyne|England|United Kingdom,54.97,-1.62,red
Lawrence|Kansas|United States,38.94,-95.23,blue
Bonn|North Rhine-Westphalia|Germany,50.7,7.14,red
Taoyuan City|@|Taiwan,24.95,121.23,red
Bloomington|Indiana|United States,39.17,-86.52,blue
Richmond|Virginia|United States,37.54,-77.43,blue
San Antonio|Texas|United States,29.47,-98.71,red
Wiesbaden|Hesse|Germany,50.08,8.22,blue
Porto Alegre|Rio Grande do Sul|Brazil,-30.08,-51.22,red
Newton|Massachusetts|United States,42.29,-71.19,blue
Hiroshima|@|Japan,34.38,132.46,red
Freiburg im Breisgau|Baden-Württemberg|Germany,48.0,7.85,blue
Cologne|North Rhine-Westphalia|Germany,50.94,6.96,red
Providence|Rhode Island|United States,41.83,-71.43,blue
Northampton|Massachusetts|United States,42.34,-72.63,red
Kolkata|West Bengal|India,22.54,88.35,red
Zhengzhou|Henan|China,34.83,113.55,red
Pittsfield|Massachusetts|United States,42.46,-73.31,blue
Busan|@|South Korea,35.07,129.09,red
Guelph|Ontario|Canada,43.53,-80.23,blue
Tempe|Arizona|United States,33.41,-111.89,blue
New Orleans|Louisiana|United States,30.02,-89.92,red
Amherst|New York|United States,42.96,-78.72,red
Shapingba|Chongqing|China,29.54,106.45,red
Portland|Oregon|United States,45.5,-122.68,blue
Reutlingen|Baden-Württemberg|Germany,48.48,9.19,blue
Santiago|Santiago Metropolitan Region|Chile,-33.45,-70.66,red
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória|@|Portugal",41.15,-8.62,blue
Aberdeen City|Scotland|United Kingdom,57.13,-2.16,red
Norwich|Connecticut|United States,41.54,-72.09,blue
South Bend|Indiana|United States,41.68,-86.25,blue
Trondheim|@|Norway,63.42,10.41,red
Halifax|Nova Scotia|Canada,44.67,-63.65,blue
Rehovot|Center District|Israel,31.91,34.81,blue
Westminster|England|United Kingdom,51.52,-0.15,red
Stuttgart|Baden-Württemberg|Germany,48.82,9.09,red
Bochum|North Rhine-Westphalia|Germany,51.48,7.23,blue
Okayama|@|Japan,34.67,133.92,red
Isfahan|Isfahan Province|Iran,32.62,51.66,red
Kobe|@|Japan,34.73,135.23,red
Fort Collins|Colorado|United States,40.6,-105.07,red
Knoxville|Tennessee|United States,35.96,-83.97,red
Shinjuku|@|Japan,35.69,139.69,red
Leicester|England|United Kingdom,52.63,-1.14,red
Fairfax|Virginia|United States,38.85,-77.3,red
Florence|Tuscany|Italy,43.78,11.26,blue
Kharagpur|West Bengal|India,22.32,87.31,red
Izmir|@|Turkey,38.43,27.14,red
Taichung|Taichung|Taiwan,24.22,120.69,red
Chiba|@|Japan,35.63,140.11,red
Santa Barbara|California|United States,34.43,-119.71,blue
Pretoria|Gauteng|South Africa,-25.75,28.2,red
Graz|Styria|Austria,47.07,15.45,red
Kaohsiung|@|Taiwan,22.73,120.31,red
Beer Sheva|South District|Israel,31.27,34.78,red
Gwangju|@|South Korea,35.19,126.85,red
Hanover|Lower Saxony|Germany,52.35,9.79,red
Xicheng District|Beijing|China,39.91,116.36,blue
Frankfurt|Hesse|Germany,50.11,8.67,blue
Arcueil|Ile-de-France|France,48.81,2.33,blue
Johannesburg|Gauteng|South Africa,-26.21,28.04,red
Stamford|Connecticut|United States,41.05,-73.54,red
Varanasi|Uttar Pradesh|India,25.26,83.0,red
Pisa|Tuscany|Italy,43.72,10.4,red
Saskatoon|Saskatchewan|Canada,52.11,-106.7,blue
Shiraz|Fars Province|Iran,29.63,52.52,red
Karlsruhe|Baden-Württemberg|Germany,49.01,8.4,red
Corvallis|Oregon|United States,44.56,-123.28,red
Bangkok|Bangkok|Thailand,13.85,100.56,red
Oakbrook Terrace|Illinois|United States,41.85,-87.96,red
Memphis|Tennessee|United States,35.15,-89.99,blue
Lucknow|Uttar Pradesh|India,26.8,80.94,red
Tampa|Florida|United States,27.95,-82.47,red
Umeå|@|Sweden,63.82,20.3,blue
Dunedin|Otago|New Zealand,-45.87,170.51,blue
Charleston|South Carolina|United States,32.8,-79.96,blue
Cerdanyola del Vallès|Catalonia|Spain,41.49,2.11,blue
Hefei City|Anhui|China,31.85,117.25,red
Medford|Massachusetts|United States,42.41,-71.12,blue
Tallahassee|Florida|United States,30.45,-84.34,blue
Osaka|@|Japan,34.69,135.52,red
Changping District|Beijing|China,40.19,116.42,red
Thessaloniki|Macedonia and Thrace|Greece,40.63,22.96,red
Kuala Lumpur|@|Malaysia,3.16,101.71,red
Wroclaw|Lower Silesian Voivodeship|Poland,51.09,17.02,red
Turku|@|Finland,60.45,22.29,blue
Wuhan|Hubei|China,30.65,114.58,blue
Bern|Bern|Switzerland,46.95,7.43,blue
Winston-Salem|North Carolina|United States,36.09,-80.24,blue
凌云路街道|@|China,31.14,121.42,blue
Sofia|@|Bulgaria,42.65,23.35,red
Lanzhou|Gansu|China,36.05,103.86,red
Dresden|Saxony|Germany,51.03,13.73,red
Worcester|Massachusetts|United States,42.28,-71.76,blue
Xiamen City|Fujian|China,24.44,118.09,blue
Omaha|Nebraska|United States,41.24,-96.02,red
Kyiv|@|Ukraine,50.35,30.48,red
Lincoln|Nebraska|United States,40.82,-96.7,red
Oak Ridge|Tennessee|United States,36.01,-84.26,red
Dusseldorf|North Rhine-Westphalia|Germany,51.23,6.77,blue
Granada|Andalusia|Spain,37.19,-3.62,blue
Newark|New Jersey|United States,40.74,-74.19,red
Columbia|South Carolina|United States,34.0,-81.03,red
Manhattan|Kansas|United States,39.19,-96.58,red
Belgrade|Central Serbia|Serbia,44.82,20.46,red
Louisville|Kentucky|United States,38.25,-85.77,red
Coventry|England|United Kingdom,52.39,-1.49,red
Belo Horizonte|Minas Gerais|Brazil,-19.94,-43.93,red
Petah Tikva|Center District|Israel,32.08,34.88,blue
Riverside|California|United States,33.98,-117.33,blue
Santa Fe|New Mexico|United States,35.68,-105.93,red
Ulsan|@|South Korea,35.57,129.31,blue
's-Hertogenbosch|North Brabant|Netherlands,51.71,5.34,red
Denver|Colorado|United States,39.66,-105.03,blue
Lebanon|New Hampshire|United States,43.68,-72.26,blue
Kanazawa|@|Japan,36.52,136.7,red
Durban|KwaZulu-Natal|South Africa,-29.85,31.01,red
Akron|Ohio|United States,41.07,-81.48,red
Geneva|Geneva|Switzerland,46.19,6.15,blue
Belfast|Northern Ireland|United Kingdom,54.59,-5.96,red
Syracuse|New York|United States,43.03,-76.14,red
Chandigarh|Chandigarh|India,30.77,76.78,red
Morgantown|West Virginia|United States,39.62,-79.96,red
Honolulu|Hawaii|United States,21.32,-157.86,red
Kanpur|Uttar Pradesh|India,26.45,80.27,red
Bergen|@|Norway,60.34,5.36,blue
Dayton|Ohio|United States,39.76,-84.19,red
Saint Petersburg|Saint Petersburg|Russia,59.92,30.32,red
Liège|Liège|Belgium,50.64,5.57,red
