City,Latitude,Longitude,Color
Cagliari - Casteddu|Sardinia|Italy,39.22,9.12,blue
San Juan|Puerto Rico|United States,18.45,-66.07,blue
Higashiosaka|@|Japan,34.65,135.59,red
Patiala|Punjab|India,30.36,76.45,red
Hull|England|United Kingdom,53.75,-0.33,red
Lancaster|England|United Kingdom,54.05,-2.79,red
Anning|Gansu|China,36.1,103.73,red
Norfolk|Virginia|United States,36.86,-76.3,red
New Britain|Connecticut|United States,41.69,-72.76,blue
Bratislava|Region of Bratislava|Slovakia,48.15,17.12,red
Shangtang|Zhejiang|China,30.3,120.15,red
Lakewood|Colorado|United States,39.74,-105.07,red
Dortmund|North Rhine-Westphalia|Germany,51.49,7.4,red
Newport|Rhode Island|United States,41.5,-71.31,red
Málaga|Andalusia|Spain,36.72,-4.42,red
Vilnius|Vilnius County|Lithuania,54.73,25.26,red
Messina|Sicily|Italy,38.23,15.55,red
Cape Girardeau|Missouri|United States,37.32,-89.53,red
Juiz de Fora|Minas Gerais|Brazil,-21.77,-43.37,red
Alicante|Valencian Community|Spain,38.38,-0.51,red
Fuchu|@|Japan,35.67,139.52,red
Hachioji|@|Japan,35.62,139.38,red
Gyeongsan-si|@|South Korea,35.88,128.82,red
Cordoba|Córdoba|Argentina,-31.44,-64.19,blue
La Plata|Buenos Aires|Argentina,-34.91,-57.95,red
Bethlehem|Pennsylvania|United States,40.63,-75.38,red
Tartu|@|Estonia,58.37,26.72,blue
Wenzhou|Zhejiang|China,27.93,120.71,red
Fargo|North Dakota|United States,46.89,-96.8,red
Ostrava|Moravia-Silesia|Czechia,49.83,18.16,red
Windsor|Ontario|Canada,42.32,-83.03,red
Salamanca|Castile and León|Spain,40.96,-5.67,red
Vigo|Galicia|Spain,42.17,-8.69,blue
Parma|Emilia-Romagna|Italy,44.8,10.33,blue
Ernakulam|Kerala|India,9.99,76.28,red
Suwon-si|@|South Korea,37.33,127.04,red
Salford|England|United Kingdom,53.52,-2.31,red
Shijiazhuang City|Hebei|China,38.05,114.54,red
Palmas|Tocantins|Brazil,-10.17,-48.33,red
Tilburg|North Brabant|Netherlands,51.56,5.05,red
Laramie|Wyoming|United States,41.31,-105.58,blue
Braga|@|Portugal,41.56,-8.4,red
Tottori|@|Japan,35.51,134.24,red
Grenoble|Auvergne-Rhône-Alpes|France,45.19,5.72,red
Denton|Texas|United States,33.23,-97.13,red
South Hams|England|United Kingdom,50.46,-3.95,red
San Bernardino|California|United States,34.13,-117.32,red
Faisalabad|Punjab|Pakistan,31.43,73.06,red
Yamagata|@|Japan,38.3,140.35,red
Regensburg|Bavaria|Germany,49.0,12.1,blue
Kafr El Sheikh|@|Egypt,31.1,30.95,red
Baota Subdistrict|Hunan|China,27.85,112.93,blue
Santa Cruz|California|United States,36.97,-122.03,blue
Bellevue|Washington|United States,47.64,-122.2,red
Guangling District|Jiangsu|China,32.4,119.43,red
Strasbourg|Grand Est|France,48.59,7.78,blue
Chiang Mai|Chiang Mai Province|Thailand,18.8,98.95,red
Parkersburg|West Virginia|United States,39.3,-81.53,red
Charlotte|North Carolina|United States,35.19,-80.83,red
Asyut|Asyut|Egypt,27.19,31.17,red
Bielefeld|North Rhine-Westphalia|Germany,52.04,8.5,blue
Wanbailin|Shanxi|China,37.86,112.52,red
Brasília|Federal District|Brazil,-15.82,-47.95,red
Riga|Vidzeme|Latvia,56.95,24.12,red
Bradford|England|United Kingdom,53.81,-1.79,red
Traverse City|Michigan|United States,44.76,-85.64,red
Jacksonville|North Carolina|United States,34.77,-77.38,red
Santa Monica|California|United States,34.01,-118.49,red
Rolla|Missouri|United States,37.96,-91.77,red
Cáceres|Extremadura|Spain,39.48,-6.34,blue
Changan|Shaanxi|China,34.16,108.9,blue
Madurai|Tamil Nadu|India,9.94,78.14,red
Dhaka|Dhaka Division|Bangladesh,23.78,90.37,red
Nanshan District|Guangdong Province|China,22.54,113.93,blue
São Carlos|São Paulo|Brazil,-21.98,-47.88,red
Valladolid|Castile and León|Spain,41.63,-4.72,blue
Essen|North Rhine-Westphalia|Germany,51.45,7.01,blue
Ottawa|Ontario|Canada,45.38,-75.62,red
Bucharest|@|Romania,44.44,26.1,red
Odense|@|Denmark,55.37,10.43,blue
"Corfu|Peloponnese, Western Greece and the Ionian|Greece",39.62,19.92,blue
Sakai|@|Japan,34.52,135.58,red
Ciudad Real|Castile-La Mancha|Spain,38.99,-3.93,blue
Karnal|Haryana|India,29.71,76.95,red
South Cambridgeshire|England|United Kingdom,52.24,0.13,blue
Magdeburg|Saxony-Anhalt|Germany,52.14,11.64,blue
Fujioka|@|Japan,36.28,139.08,red
Prayagraj|Uttar Pradesh|India,25.49,81.87,red
Burbank|California|United States,34.16,-118.33,blue
Harrisburg|Pennsylvania|United States,40.26,-76.88,red
Londonderry/Derry|Northern Ireland|United Kingdom,55.0,-7.33,red
Ota|@|Japan,36.29,139.4,red
Meguro|@|Japan,35.64,139.7,red
Plano|Texas|United States,33.05,-96.85,blue
Morioka|@|Japan,39.72,141.14,red
Xinzheng|Henan|China,34.4,113.76,red
Seongnam-si|@|South Korea,37.39,127.12,blue
Saint-Genis-Pouilly|Auvergne-Rhône-Alpes|France,46.23,6.05,red
San Cristóbal de La Laguna|@|Spain,28.46,-16.29,red
Szeged|@|Hungary,46.25,20.15,blue
Canterbury|England|United Kingdom,51.28,1.09,red
Bozeman|Montana|United States,45.67,-111.05,blue
Flint|Michigan|United States,43.02,-83.7,red
Tupelo|Mississippi|United States,34.26,-88.71,red
Karşıyaka Mahallesi|@|Turkey,38.76,41.49,red
Verona|Veneto|Italy,45.44,11.0,blue
Panyu District|Guangdong Province|China,23.04,113.4,red
Arlington|Texas|United States,32.75,-97.07,red
Jyväskylä|@|Finland,62.25,25.74,blue
Tromsø|@|Norway,69.59,19.22,blue
Ferrara|Emilia-Romagna|Italy,44.83,11.63,blue
Amman|Amman|Jordan,31.96,35.9,red
Trichy Corporation Limits|Tamil Nadu|India,10.74,78.64,red
Fredericton|New Brunswick|Canada,45.94,-66.65,red
Moriguchi|@|Japan,34.73,135.56,red
Mountain View|California|United States,37.42,-122.07,red
Jiujiang|Anhui|China,31.35,118.43,red
Sousse|Sousse|Tunisia,35.84,10.61,blue
Lixia District|Shandong|China,36.65,117.12,red
Sulaibikhat|Al Asimah|Kuwait,29.32,47.83,red
Akita|@|Japan,39.72,140.16,red
Delhi|Delhi|India,28.65,77.24,red
Alcalá de Henares|Community of Madrid|Spain,40.49,-3.44,red
Tomsk|Tomsk Oblast|Russia,56.47,84.95,red
Ludhiana|Punjab|India,30.86,75.86,red
Hamamatsu|@|Japan,34.71,137.74,red
Nishinomiya|@|Japan,34.72,135.38,red
Borough of Newcastle-under-Lyme|England|United Kingdom,53.0,-2.27,red
Baoding City|Hebei|China,39.05,116.3,red
Benevento|Campania|Italy,41.13,14.78,blue
Bangor|Maine|United States,44.83,-68.74,red
Abu Dhabi|Abu Dhabi Emirate|United Arab Emirates,24.44,54.41,red
Szczecin|West Pomeranian Voivodeship|Poland,53.42,14.54,red
Kaunas|Kaunas County|Lithuania,54.92,23.92,red
Manesar|Haryana|India,28.33,76.94,red
Santander|Cantabria|Spain,43.47,-3.8,blue
Shizhong District|Shandong|China,36.61,116.97,red
Irbid|Irbid|Jordan,32.55,35.85,red
New Taipei|New Taipei|Taiwan,25.02,121.47,red
Fort Myers|Florida|United States,26.55,-81.89,red
Toyama|@|Japan,36.6,137.27,red
Poitiers|New Aquitaine|France,46.59,0.34,blue
Ningbo|Zhejiang|China,29.82,121.57,red
Portsmouth|New Hampshire|United States,43.07,-70.8,blue
Kerman|Kerman Province|Iran,30.28,57.03,red
Xiaodian|Shanxi|China,37.8,112.59,blue
Białowieża|Podlaskie Voivodeship|Poland,52.7,23.85,red
Caserta|Campania|Italy,41.07,14.33,red
Amritsar|Punjab|India,31.63,74.87,red
Limerick|@|Ireland,52.67,-8.65,red
Elgin|Illinois|United States,42.07,-88.33,red
Marquette|Michigan|United States,46.56,-87.41,red
New Bedford|Massachusetts|United States,41.64,-70.92,blue
Nancy|Grand Est|France,48.7,6.18,blue
Jinju-si|@|South Korea,35.15,128.1,red
Dharwad|Karnataka|India,15.44,74.99,red
Rasht|Gilan Province|Iran,37.19,49.64,blue
Fortaleza|Ceará|Brazil,-3.74,-38.54,red
Trento|Trentino-Alto Adige/Südtirol|Italy,46.07,11.15,blue
Qixing|Guangxi|China,25.28,110.3,red
Kayseri|@|Turkey,38.74,35.47,blue
Makhanda|Eastern Cape|South Africa,-33.3,26.52,red
Shimotsuke|@|Japan,36.4,139.86,blue
Minsk|@|Belarus,53.92,27.59,red
Bhubaneswar Municipal Corporation|Odisha|India,20.27,85.84,red
Takatsuki|@|Japan,34.85,135.63,red
João Pessoa|Paraíba|Brazil,-7.14,-34.85,red
Nantes|Pays de la Loire|France,47.28,-1.52,red
Khlong Ha Subdistrict|Pathum Thani Province|Thailand,14.12,100.71,red
Tver|Tver Oblast|Russia,56.89,35.88,red
Kitakyushu|@|Japan,33.84,130.88,red
Debrecen|@|Hungary,47.55,21.62,blue
Hirosaki|@|Japan,40.59,140.47,red
Sakado|@|Japan,35.95,139.41,red
Amasya|@|Turkey,40.65,35.81,red
South San Francisco|California|United States,37.66,-122.4,blue
Ahwaz|Khuzestan Province|Iran,31.32,48.68,red
Bilaspur|Chhattisgarh|India,22.13,82.14,red
Taishan District|Shandong|China,36.19,117.12,blue
Friedrichshafen|Baden-Württemberg|Germany,47.67,9.43,blue
Awka|Anambra|Nigeria,6.24,7.12,red
Buffalo|New York|United States,42.9,-78.86,blue
Accra|Greater Accra Region|Ghana,5.6,-0.24,red
Guanghan City|Sichuan|China,30.98,104.25,red
Rostock|Mecklenburg-Vorpommern|Germany,54.18,12.08,blue
Ahmedabad|Gujarat|India,23.04,72.57,red
Brescia|Lombardy|Italy,45.54,10.22,blue
Pomona|California|United States,34.06,-117.75,red
Eskisehir|@|Turkey,39.75,30.49,red
Grand Forks|North Dakota|United States,47.91,-97.07,red
Kita|@|Japan,35.76,139.72,red
Welwyn Hatfield|England|United Kingdom,51.8,-0.19,red
Jhunjhunu|Rajasthan|India,28.12,75.38,red
Gimhae-si|@|South Korea,35.26,128.86,blue
Wirral|England|United Kingdom,53.39,-3.02,blue
Nagpur|Maharashtra|India,21.18,79.05,red
Kalyani|West Bengal|India,22.99,88.45,red
Hat Yai|Songkhla Province|Thailand,7.02,100.47,red
Kingston|@|Jamaica,17.97,-76.79,red
Catanzaro|Calabria|Italy,38.87,16.57,red
Kashihara|@|Japan,34.5,135.79,blue
Mobile|Alabama|United States,30.64,-88.07,red
Tlokwe Local Municipality|North West|South Africa,-26.71,27.1,red
Amarillo|Texas|United States,35.19,-101.92,red
Kaiserslautern|Rhineland-Palatinate|Germany,49.43,7.75,red
Stirling|Scotland|United Kingdom,56.15,-3.92,red
Borough of Spelthorne|England|United Kingdom,51.43,-0.46,red
Dijon|Bourgogne-Franche-Comté|France,47.31,5.07,blue
Babergh|England|United Kingdom,51.97,1.15,red
Bhavnagar|Gujarat|India,21.76,72.14,red
Newport News|Virginia|United States,37.06,-76.49,blue
Nice|Provence-Alpes-Côte d'Azur|France,43.71,7.26,red
Toyohashi|@|Japan,34.7,137.41,red
Yongin-si|@|South Korea,37.23,127.17,red
Waco|Texas|United States,31.53,-97.19,red
Trabzon|Trabzon|Turkey,40.99,39.77,red
Laurel|Maryland|United States,39.1,-76.85,red
Novi Sad City|Vojvodina|Serbia,45.25,19.84,red
Cheongju-si|@|South Korea,36.62,127.48,red
Khon Kaen|Khon Kaen Province|Thailand,16.47,102.82,red
Chuo|@|Japan,35.68,139.77,red
Visakhapatnam|Andhra Pradesh|India,17.7,83.3,red
Le Havre|Normandy|France,49.5,0.13,blue
Asan-si|@|South Korea,36.77,126.93,red
Kozhikode|Kerala|India,11.26,75.78,red
Missoula|Montana|United States,46.86,-113.99,blue
Konya|@|Turkey,37.88,32.47,red
Yekaterinburg|Sverdlovsk Oblast|Russia,56.83,60.6,red
Kincardine|Ontario|Canada,44.33,-81.59,red
Concepcion|Biobío Region|Chile,-36.83,-73.04,red
Fairbanks|Alaska|United States,64.84,-147.71,blue
South Oxfordshire|England|United Kingdom,51.72,-1.13,red
Luleå|@|Sweden,65.58,22.15,red
Medellín|Antioquia|Colombia,6.25,-75.58,red
Jaipur|Rajasthan|India,26.91,75.82,red
Chongchuan District|Jiangsu|China,31.97,120.91,blue
Modena|Emilia-Romagna|Italy,44.65,10.93,blue
Doha|Doha|Qatar,25.28,51.57,red
Karlova Ves|Region of Bratislava|Slovakia,48.15,17.07,red
Newburgh|New York|United States,41.51,-74.01,red
Fort Worth|Texas|United States,32.75,-97.37,blue
Armidale|New South Wales|Australia,-30.49,151.64,red
Yokosuka|@|Japan,35.26,139.72,blue
Ginowan|@|Japan,26.26,127.75,blue
Caen|Normandy|France,49.19,-0.36,blue
Adıyaman|@|Turkey,37.74,38.23,red
Al-Zaqaziq|Eastern|Egypt,30.59,31.48,red
Dehradun|Uttarakhand|India,30.27,78.08,red
Burdur Merkez|@|Turkey,37.72,30.28,blue
Kusatsu|@|Japan,34.97,135.95,blue
Bloomington|Illinois|United States,40.49,-88.99,blue
Potsdam|Brandenburg|Germany,52.38,13.06,blue
Heraklion Municipal Unit|Region of Crete|Greece,35.31,25.08,blue
Cádiz|Andalusia|Spain,36.53,-6.29,red
Niterói|Rio de Janeiro|Brazil,-22.9,-43.12,red
Jin'an|Fujian|China,26.08,119.37,red
Lahore|Punjab|Pakistan,31.48,74.3,red
Vadodara|Gujarat|India,22.3,73.19,red
Shah Alam|Selangor|Malaysia,3.07,101.52,red
Beichen District|Tianjin|China,39.24,117.06,red
Saint Paul|Minnesota|United States,44.96,-93.1,red
Boca Raton|Florida|United States,26.36,-80.1,red
Vancouver|Washington|United States,45.6,-122.49,red
Panaji|Goa|India,15.46,73.8,red
Bareilly|Uttar Pradesh|India,28.39,79.43,red
San Jose|California|United States,37.42,-121.93,red
Salvador|Bahia|Brazil,-13.01,-38.51,red
South Norfolk|England|United Kingdom,52.62,1.22,blue
Las Vegas|Nevada|United States,36.17,-115.15,red
Bloemfontein|Free State|South Africa,-29.12,26.21,red
Pocatello|Idaho|United States,42.87,-112.43,red
Matsue|@|Japan,35.49,133.07,blue
Nairobi|Nairobi County|Kenya,-1.3,36.8,red
Natal|Rio Grande do Norte|Brazil,-5.84,-35.2,red
Chuncheon-si|@|South Korea,37.86,127.75,red
Raiwind|Punjab|Pakistan,31.29,74.17,red
Dearborn|Michigan|United States,42.3,-83.22,red
Kashan|Isfahan Province|Iran,34.01,51.4,red
Le Chesnay-Rocquencourt|Ile-de-France|France,48.84,2.1,red
Muscat|Muscat|Oman,23.62,58.59,red
Linz|Upper Austria|Austria,48.34,14.32,red
Chofu|@|Japan,35.66,139.54,red
Udine|Friuli-Venezia Giulia|Italy,46.08,13.21,blue
Tunis|Tunis|Tunisia,36.8,10.16,red
Ikorodu|Lagos|Nigeria,6.64,3.53,red
Berlin|Vermont|United States,44.22,-72.56,red
Toruń|Kuyavian-Pomeranian Voivodeship|Poland,53.02,18.57,blue
Ancona|Marche|Italy,43.62,13.51,blue
Saguenay|Quebec|Canada,48.42,-71.05,red
Kuopio|@|Finland,62.91,27.62,blue
Caracas|Miranda State|Venezuela,10.5,-66.78,red
L'Aquila|Abruzzo|Italy,42.36,13.38,red
Dongli|Tianjin|China,39.1,117.4,red
Greensboro|North Carolina|United States,36.07,-79.79,red
Xanthi|Macedonia and Thrace|Greece,41.14,24.89,red
Hattiesburg|Mississippi|United States,31.33,-89.33,red
Maribor|@|Slovenia,46.56,15.64,red
Nagaoka|@|Japan,37.47,138.83,red
Tallinn|@|Estonia,59.46,24.84,red
Lille|Hauts-de-France|France,50.62,3.08,red
León|Castile and León|Spain,42.61,-5.56,blue
Murten|Fribourg|Switzerland,46.92,7.11,blue
Waukegan|Illinois|United States,42.37,-87.82,blue
Bahía Blanca|Buenos Aires|Argentina,-38.7,-62.27,red
Rostov-on-Don|Rostov Oblast|Russia,47.22,39.73,red
Long Beach|California|United States,33.76,-118.2,red
Portsmouth|England|United Kingdom,50.8,-1.09,red
Maringá|Paraná|Brazil,-23.41,-51.94,red
Anand|Gujarat|India,22.55,72.97,red
Balcalı Mahallesi|@|Turkey,37.06,35.36,red
Panihati|West Bengal|India,22.7,88.38,blue
Asahikawa|@|Japan,43.73,142.39,blue
Manama|Capital Governorate|Bahrain,26.22,50.58,red
Gaziantep|@|Turkey,37.04,37.31,red
Clermont-Ferrand|Auvergne-Rhône-Alpes|France,45.78,3.09,red
Bhopal|Madhya Pradesh|India,23.21,77.45,red
Breda|North Brabant|Netherlands,51.59,4.8,blue
Hamedan|Hamadan Province|Iran,34.79,48.48,blue
Indore|Madhya Pradesh|India,22.69,75.88,red
Alexandria|Virginia|United States,38.81,-77.04,red
Chemnitz|Saxony|Germany,50.81,12.93,red
Springfield|Illinois|United States,39.74,-89.62,red
Saitama|@|Japan,35.94,139.6,red
Borough of Runnymede|England|United Kingdom,51.35,-0.49,blue
Tirupati|Andhra Pradesh|India,13.64,79.41,red
Üniversite Mahallesi|@|Turkey,38.68,39.2,red
Ipoh|Perak|Malaysia,4.59,101.13,red
Huangdao District|Shandong|China,36.0,120.12,red
Reykjavik|@|Iceland,64.13,-21.82,blue
Kofu|@|Japan,35.66,138.6,blue
Tanta|Western|Egypt,30.79,31.0,red
St. Catharines|Ontario|Canada,43.12,-79.25,blue
Hitachi|@|Japan,36.51,140.62,red
Leganés|Community of Madrid|Spain,40.34,-3.77,red
Hampton|Virginia|United States,37.06,-76.42,red
Fengze District|Fujian|China,24.87,118.67,red
Kolhapur|Maharashtra|India,16.68,74.26,red
Nicosia Municipality|@|Cyprus,35.18,33.38,blue
Almeria|Andalusia|Spain,36.83,-2.4,red
Toshima|@|Japan,35.73,139.7,red
Taohua|Jiangxi|China,28.68,115.86,blue
Larissa|Thessaly and Central Greece|Greece,39.63,22.38,blue
دهستان روضه چای|West Azerbaijan Province|Iran,37.66,44.99,red
Tokorozawa|@|Japan,35.8,139.46,red
Brookings|South Dakota|United States,44.32,-96.78,blue
Lüshunkou|Liaoning|China,38.81,121.31,red
Xi'an|Shaanxi|China,34.38,108.98,red
Takamatsu|@|Japan,34.26,134.02,blue
Kalamazoo|Michigan|United States,42.28,-85.61,red
Jindong District|Zhejiang|China,29.14,119.64,blue
Salisbury|Maryland|United States,38.36,-75.6,red
Oita|@|Japan,33.18,131.54,red
Kurashiki|@|Japan,34.63,133.81,red
Canton|Ohio|United States,40.83,-81.38,red
Redding|California|United States,40.61,-122.33,red
Rishon LeZion|Center District|Israel,31.99,34.82,red
Jersey City|New Jersey|United States,40.71,-74.03,red
Düzce|@|Turkey,40.9,31.15,red
Kazan|Tatarstan|Russia,55.78,49.12,red
Athens|Alabama|United States,34.81,-86.97,red
Odense|Region of Southern Denmark|Denmark,55.39,10.44,blue
Qinhuangdao City|Hebei|China,39.91,119.55,red
Xiangzhou District|Guangdong Province|China,22.35,113.54,red
Semnan|Semnan Province|Iran,35.6,53.44,red
Nonoichi|@|Japan,36.53,136.63,red
Wangen-Brüttisellen|Zurich|Switzerland,47.42,8.63,red
Jaén|Andalusia|Spain,37.79,-3.77,blue
Srinagar|Jammu and Kashmir|India,34.09,74.82,red
Elmira|New York|United States,42.1,-76.82,red
Noida|Uttar Pradesh|India,28.61,77.36,red
Sassari|Sardinia|Italy,40.72,8.56,blue
Cidade de Maputo|@|Mozambique,-25.97,32.59,red
Babolsar|Mazandaran Province|Iran,36.7,52.65,red
Novosibirsk|Novosibirsk Oblast|Russia,54.99,82.9,red
Ikoma|@|Japan,34.73,135.73,blue
Kermanshah|Kermanshah Province|Iran,34.29,47.03,blue
Irving|Texas|United States,32.81,-96.93,red
Santa Clara|California|United States,37.38,-121.98,red
Warangal|Telangana|India,17.98,79.6,red
Pécs|@|Hungary,46.07,18.24,blue
Tianshan District|Xinjiang|China,43.77,87.62,red
Haikou City|Hainan Province|China,19.98,110.33,red
Dhanbad|Jharkhand|India,23.81,86.44,red
Lowell|Massachusetts|United States,42.64,-71.32,red
San Nicolás de los Garza|Nuevo León|Mexico,25.72,-100.31,red
Wakayama|@|Japan,34.19,135.18,blue
Johnson City|Tennessee|United States,36.3,-82.37,red
Bardhaman|West Bengal|India,23.24,87.85,red
Chattanooga|Tennessee|United States,35.03,-85.28,blue
Upper Burrell Township|Pennsylvania|United States,40.55,-79.7,red
Muğla|@|Turkey,37.17,28.37,red
Fukui|@|Japan,36.06,136.23,blue
Besançon|Bourgogne-Franche-Comté|France,47.24,6.02,red
Wolverhampton|England|United Kingdom,52.59,-2.13,red
Castelló de la Plana|Valencian Community|Spain,39.99,-0.07,blue
Suita|@|Japan,34.77,135.51,red
Zhanghua City|Taiwan Province|Taiwan,24.08,120.56,red
Isparta|@|Turkey,37.83,30.53,red
Kaliningrad|Kaliningrad|Russia,54.72,20.5,blue
Ashford|England|United Kingdom,51.14,0.91,red
Meizhou|Guangdong Province|China,24.33,116.13,red
Greater Sudbury|Ontario|Canada,46.71,-81.01,red
Phoenix|Arizona|United States,33.46,-111.95,blue
Peterborough|Ontario|Canada,44.3,-78.32,blue
Wismar|Mecklenburg-Vorpommern|Germany,53.89,11.45,blue
Paderborn|North Rhine-Westphalia|Germany,51.71,8.77,red
Huntsville|Alabama|United States,34.78,-86.57,red
Largo|Florida|United States,27.89,-82.76,red
Regina|Saskatchewan|Canada,50.45,-104.61,red
Fukushima|@|Japan,37.69,140.47,blue
Luoyang|Henan|China,34.63,112.44,red
Charleroi|Hainaut|Belgium,50.45,4.45,red
Al Ain|Abu Dhabi Emirate|United Arab Emirates,24.23,55.75,red
Lethbridge|Alberta|Canada,49.66,-112.81,blue
Belém|Pará|Brazil,-1.43,-48.49,red
Londrina|Paraná|Brazil,-23.34,-51.18,red
Le Grand-Saconnex|Geneva|Switzerland,46.23,6.13,red
Gwalior|Madhya Pradesh|India,26.25,78.17,red
Sacramento|California|United States,38.65,-121.52,red
Kochi|@|Japan,33.56,133.51,red
Unguwar Fatika|Kaduna State|Nigeria,11.07,7.7,red
Anaheim|California|United States,33.85,-117.85,red
Bydgoszcz|Kuyavian-Pomeranian Voivodeship|Poland,53.13,18.02,red
São José dos Campos|São Paulo|Brazil,-23.22,-45.86,red
Radnor Township|Pennsylvania|United States,40.05,-75.37,red
Goiânia|Goiás|Brazil,-16.68,-49.24,red
虹梅路街道|@|China,31.18,121.4,red
Hanoi|@|Vietnam,21.0,105.81,red
康健新村街道|@|China,31.16,121.42,red
Stavanger|@|Norway,58.89,5.72,red
Guiyang|Guizhou|China,26.38,106.64,red
Pelotas|Rio Grande do Sul|Brazil,-31.78,-52.32,red
Quito|Pichincha|Ecuador,-0.21,-78.49,red
Maceió|Alagoas|Brazil,-9.52,-35.78,red
Caracas|Capital District|Venezuela,10.51,-66.92,red
Shanghai|@|China,31.23,121.47,red
Orléans|Centre-Loire Valley|France,47.84,1.93,red
Peoria|Illinois|United States,40.71,-89.61,red
Lappeenranta|@|Finland,61.06,28.19,red
St. Florian am Inn|Upper Austria|Austria,48.43,13.47,blue
Yerevan|@|Armenia,40.17,44.51,red
Yuquan|Inner Mongolia|China,40.81,111.69,red
Zanjan|Zanjan Province|Iran,36.7,48.51,blue
Nomi|@|Japan,36.44,136.59,red
Shimla|Himachal Pradesh|India,31.11,77.14,red
Arbon|Thurgau|Switzerland,47.52,9.44,red
Toyoake|@|Japan,35.06,136.98,blue
Vitória|Espírito Santo|Brazil,-20.31,-40.32,red
Jennings|Missouri|United States,38.71,-90.26,blue
Mokpo-si|@|South Korea,34.83,126.42,red
New Forest|England|United Kingdom,50.82,-1.57,red
Jiamusi|Heilongjiang|China,46.79,130.36,blue
Perímetro Urbano Santiago de Cali|Valle del Cauca|Colombia,3.34,-76.53,red
Flagstaff|Arizona|United States,35.23,-111.67,blue
Haldwani|Uttarakhand|India,29.21,79.53,red
Shillong|Meghalaya|India,25.61,91.9,red
Kassel|Hesse|Germany,51.32,9.51,red
Foggia|Apulia|Italy,41.45,15.57,red
Wichita|Kansas|United States,37.68,-97.37,red
Kawasaki|@|Japan,35.53,139.69,red
Dongchangfu District|Shandong|China,36.43,116.01,red
Pukou District|Jiangsu|China,32.21,118.72,blue
Shreveport|Louisiana|United States,32.54,-93.83,blue
Qingshan District|Hubei|China,30.63,114.37,red
Huntington|West Virginia|United States,38.41,-82.43,red
Vermillion|South Dakota|United States,42.79,-96.93,blue
Thanjavur|Tamil Nadu|India,10.77,79.13,red
Beau Bassin-Rose Hill|Plaines Wilhems|Mauritius,-20.24,57.48,red
Thunder Bay|Ontario|Canada,48.42,-89.27,red
Quezon City|@|Philippines,14.66,121.06,red
Tours|Centre-Loire Valley|France,47.36,0.7,blue
Changzhi High-Tech Development Area|Shanxi|China,36.21,113.11,red
Cotswold District|England|United Kingdom,51.71,-1.99,blue
Puebla|Puebla|Mexico,19.05,-98.22,red
Jaipur Municipal Corporation|Rajasthan|India,26.82,75.82,red
Tulsa|Oklahoma|United States,36.15,-96.0,red
Reims|Grand Est|France,49.25,4.04,red
Hammond|Indiana|United States,41.67,-87.5,red
Pardubice|Northeast|Czechia,50.05,15.77,red
Uberlândia|Minas Gerais|Brazil,-18.92,-48.26,red
City of Niš|Central Serbia|Serbia,43.32,21.89,red
Port Elizabeth|Eastern Cape|South Africa,-34.01,25.67,red
Monroe|Louisiana|United States,32.53,-92.07,red
Bathurst|New South Wales|Australia,-33.43,149.56,red
Baghdad|Baghdad Governorate|Iraq,33.34,44.39,red
Rawalpindi|Punjab|Pakistan,33.59,73.06,red
Monterey|California|United States,36.6,-121.9,red
Three Rivers|England|United Kingdom,51.62,-0.44,red
Batman Merkez|@|Turkey,37.79,41.06,red
Voronezh|Voronezh Oblast|Russia,51.66,39.21,red
Edogawa|@|Japan,35.69,139.91,red
León|Guanajuato|Mexico,21.15,-101.7,red
Valdivia|Los Ríos Region|Chile,-39.81,-73.25,blue
Benin City|Edo|Nigeria,6.33,5.6,red
Kirklees|England|United Kingdom,53.64,-1.78,red
Zhangdian District|Shandong|China,36.82,118.03,red
Silchar|Assam|India,24.83,92.8,red
Terre Haute|Indiana|United States,39.47,-87.38,red
Panvel|Maharashtra|India,19.06,73.06,red
Mytilene|Aegean|Greece,39.1,26.55,red
شهر یزد|Yazd Province|Iran,31.84,54.34,blue
Malacca City|Malacca|Malaysia,2.22,102.26,red
Mito|@|Japan,36.38,140.44,red
Grand Rapids|Michigan|United States,42.93,-85.59,red
Preston|England|United Kingdom,53.86,-2.64,blue
Aurangabad|Maharashtra|India,19.88,75.36,red
Colorado Springs|Colorado|United States,39.0,-104.8,red
Charlottetown|Prince Edward Island|Canada,46.26,-63.14,blue
Waterloo|Ontario|Canada,43.46,-80.53,blue
Miyazaki|@|Japan,31.93,131.42,blue
Caguas|Puerto Rico|United States,18.22,-66.03,red
Semarang|Central Java|Indonesia,-6.99,110.42,red
Hartford|Connecticut|United States,41.77,-72.67,red
Móstoles|Community of Madrid|Spain,40.34,-3.88,red
Varese|Lombardy|Italy,45.81,8.84,blue
Bang Chalong Subdistrict|Samut Prakan Province|Thailand,13.61,100.76,red
Soka|@|Japan,35.84,139.79,red
Kuwait City|Al Asimah|Kuwait,29.33,47.99,red
Annapolis|Maryland|United States,38.89,-76.54,blue
Kampala|Central Region|Uganda,0.32,32.59,red
Selayang Municipal Council|Selangor|Malaysia,3.24,101.64,red
Girona|Catalonia|Spain,41.97,2.84,blue
Vale of White Horse|England|United Kingdom,51.74,-1.29,red
Toowoomba|Queensland|Australia,-27.6,151.93,red
Trois-Rivières|Quebec|Canada,46.36,-72.57,red
Ashoknagar Kalyangarh|West Bengal|India,22.84,88.61,red
